"userid","deposit_failure_flag","withdrawal_reversal_flag","quick_withdrawal_flag","low_play_flag","total_flags"
21278,1,0,0,1,2
21311,1,0,0,1,2
21321,1,0,0,1,2
21788,1,0,0,1,2
22003,1,0,0,1,2
22118,0,0,1,1,2
22167,1,0,0,1,2
22198,1,0,0,1,2
23016,1,0,0,1,2
23160,0,1,0,1,2
23753,0,1,0,1,2
24870,1,0,0,1,2
25432,0,0,1,1,2
25507,1,0,0,1,2
25576,0,0,1,1,2
26249,0,1,0,1,2
27052,0,1,0,1,2
27399,1,0,0,1,2
27620,1,0,0,1,2
28112,1,0,0,1,2
28278,0,0,1,1,2
28373,0,1,0,1,2
28570,0,1,0,1,2
28670,0,0,1,1,2
29416,0,1,0,1,2
29477,1,0,0,1,2
29575,0,1,0,1,2
30055,1,0,0,1,2
30335,0,0,1,1,2
30953,1,0,0,1,2
31521,1,1,0,0,2
31949,1,0,0,1,2
32552,0,1,0,1,2
32926,0,1,0,1,2
33086,1,0,0,1,2
33395,0,0,1,1,2
33914,0,1,0,1,2
34768,0,0,1,1,2
35239,0,1,0,1,2
35329,0,1,0,1,2
35543,0,1,0,1,2
35551,1,0,0,1,2
35954,1,0,0,1,2
36289,1,0,0,1,2
36478,0,0,1,1,2
37063,1,0,0,1,2
37142,0,1,0,1,2
37175,1,0,0,1,2
37559,1,0,0,1,2
37989,0,0,1,1,2
38028,1,0,0,1,2
38473,0,1,0,1,2
38552,0,1,0,1,2
38924,1,0,0,1,2
38930,1,0,0,1,2
39134,0,1,0,1,2
39223,1,0,0,1,2
39253,0,0,1,1,2
39739,0,1,0,1,2
39781,1,0,0,1,2
39829,0,1,0,1,2
40123,1,0,0,1,2
40188,0,0,1,1,2
40418,0,1,0,1,2
41274,0,0,1,1,2
41663,0,1,0,1,2
41664,0,1,0,1,2
42192,0,1,0,1,2
43896,0,0,1,1,2
44196,1,0,0,1,2
45552,1,0,0,1,2
45706,1,0,1,0,2
45810,0,0,1,1,2
45847,0,1,0,1,2
46224,0,0,1,1,2
46802,0,1,0,1,2
47123,0,1,0,1,2
48594,0,1,0,1,2
48673,1,0,0,1,2
49572,0,0,1,1,2
49888,1,0,0,1,2
50135,1,0,0,1,2
50195,0,1,0,1,2
50289,0,1,0,1,2
50342,0,1,0,1,2
50844,1,0,0,1,2
50899,1,0,0,1,2
50967,1,0,0,1,2
51070,1,0,0,1,2
51206,1,0,0,1,2
51248,1,0,0,1,2
51366,0,1,0,1,2
51429,1,0,0,1,2
52020,1,0,0,1,2
52177,1,0,0,1,2
52268,0,1,0,1,2
52419,1,0,0,1,2
52519,1,0,0,1,2
52725,1,0,0,1,2
52832,1,1,0,0,2
52961,1,0,0,1,2
53751,0,1,0,1,2
54025,1,0,0,1,2
55148,0,1,0,1,2
55233,0,0,1,1,2
55339,1,0,0,1,2
55538,0,1,0,1,2
55635,1,0,0,1,2
56051,1,0,0,1,2
56189,0,1,0,1,2
56434,1,0,0,1,2
56833,0,1,0,1,2
57271,0,1,0,1,2
57406,0,1,0,1,2
58110,1,1,0,0,2
59620,1,0,0,1,2
59628,0,1,0,1,2
60063,1,0,0,1,2
60121,1,0,0,1,2
61266,0,1,0,1,2
61454,0,1,0,1,2
61762,1,0,0,1,2
62333,0,0,1,1,2
62443,0,1,0,1,2
63080,1,0,0,1,2
63363,0,0,1,1,2
63444,0,1,0,1,2
63909,0,1,0,1,2
64221,1,0,0,1,2
64699,0,1,0,1,2
64854,1,0,0,1,2
64953,1,0,0,1,2
65017,1,0,0,1,2
65103,1,0,0,1,2
65170,1,0,0,1,2
65530,0,1,0,1,2
66075,0,1,0,1,2
66102,0,0,1,1,2
66261,1,0,0,1,2
66326,1,0,0,1,2
66424,1,0,0,1,2
66471,1,0,0,1,2
66736,0,1,0,1,2
66749,1,0,0,1,2
67387,1,0,0,1,2
67620,1,0,0,1,2
67644,0,1,0,1,2
67697,0,1,0,1,2
68150,0,0,1,1,2
68228,1,0,0,1,2
69123,1,0,0,1,2
69225,0,1,0,1,2
70227,1,0,0,1,2
70383,1,0,0,1,2
70389,0,0,1,1,2
70753,1,0,0,1,2
70978,1,0,0,1,2
71073,1,0,0,1,2
71760,1,0,0,1,2
71955,0,1,0,1,2
72171,0,0,1,1,2
72260,1,0,0,1,2
