"UserID","WithdrawalID","SummaryDate","ProcessDate","ProcessTime","PayMeth","PayMethCat","CardType","Amount","Status"
2092,421,2015-02-06,2015-02-06,"05:05:29","VISA","EEA debit/credit card","Und",1972.10307,"R"
12774,422,2015-02-06,2015-02-06,"08:41:06","VISA","EEA debit/credit card","Und",8.65,"S"
8357,427,2015-02-06,2015-02-06,"09:50:17","VISA","EEA debit/credit card","Und",126.20606,"S"
8357,432,2015-02-06,2015-02-06,"10:05:24","VISA","EEA debit/credit card","Und",46.8598,"R"
7231,435,2015-02-06,2015-02-06,"10:37:06","PayPal","eWallet","Und",56,"R"
6883,456,2015-02-06,2015-02-06,"13:59:24","VISA","EEA debit/credit card","Und",80.26337,"S"
2822,464,2015-02-06,2015-02-06,"14:58:08","PayPal","eWallet","Und",10,"S"
12903,474,2015-02-06,2015-02-06,"16:07:33","PayPal","eWallet","Und",25.62,"R"
7958,477,2015-02-06,2015-02-06,"16:20:29","Banktransfer","Bank Transfer","Und",280,"S"
3626,480,2015-02-06,2015-02-06,"16:37:19","Banktransfer","Bank Transfer","Und",50,"S"
5223,503,2015-02-06,2015-02-06,"19:31:21","Banktransfer","Bank Transfer","Und",57,"S"
10311,546,2015-02-06,2015-02-06,"23:22:00","PayPal","eWallet","Und",500,"S"
2118,550,2015-02-06,2015-02-06,"23:44:16","Banktransfer","Bank Transfer","Und",113.3,"S"
12042,568,2015-02-07,2015-02-07,"04:46:12","EntroPay","Prepaid Cards","Und",191.37916,"R"
872,593,2015-02-07,2015-02-07,"11:33:27","PayPal","eWallet","Und",60,"S"
42,598,2015-02-07,2015-02-07,"12:12:48","PayPal","eWallet","Und",26.59,"S"
5212,600,2015-02-07,2015-02-07,"12:27:17","Banktransfer","Bank Transfer","Und",82.77,"S"
13448,640,2015-02-07,2015-02-07,"16:35:14","VISA","EEA debit/credit card","Und",2675.44552,"R"
3505,656,2015-02-07,2015-02-07,"18:08:19","VISA","EEA debit/credit card","Und",22,"S"
9163,664,2015-02-07,2015-02-07,"18:39:21","Banktransfer","Bank Transfer","Und",66.61301,"R"
6918,687,2015-02-07,2015-02-07,"20:41:11","Banktransfer","Bank Transfer","Und",42.27316,"S"
7617,705,2015-02-07,2015-02-07,"22:13:32","PayPal","eWallet","Und",15,"S"
5212,712,2015-02-07,2015-02-07,"23:07:33","Banktransfer","Bank Transfer","Und",36.75,"S"
10018,716,2015-02-07,2015-02-07,"23:25:03","VISA","EEA debit/credit card","Und",20.06584,"S"
2958,719,2015-02-07,2015-02-07,"23:41:20","Banktransfer","Bank Transfer","Und",10,"S"
10018,726,2015-02-08,2015-02-08,"00:24:37","VISA","EEA debit/credit card","Und",15.94566,"S"
12042,731,2015-02-08,2015-02-08,"02:42:54","EntroPay","Prepaid Cards","Und",454.74497,"R"
872,732,2015-02-08,2015-02-08,"03:12:45","PayPal","eWallet","Und",25,"S"
12042,734,2015-02-08,2015-02-08,"03:51:38","EntroPay","Prepaid Cards","Und",438.94303,"R"
12042,735,2015-02-08,2015-02-08,"03:54:36","EntroPay","Prepaid Cards","Und",516.197,"R"
3394,736,2015-02-08,2015-02-08,"03:55:41","Banktransfer","Bank Transfer","Und",202,"S"
12042,737,2015-02-08,2015-02-08,"03:57:34","EntroPay","Prepaid Cards","Und",955.14002,"R"
12042,738,2015-02-08,2015-02-08,"04:04:47","EntroPay","Prepaid Cards","Und",438.94303,"R"
12042,739,2015-02-08,2015-02-08,"04:54:58","EntroPay","Prepaid Cards","Und",421.3853,"R"
12042,740,2015-02-08,2015-02-08,"04:55:39","EntroPay","Prepaid Cards","Und",570.74006,"R"
11052,763,2015-02-08,2015-02-08,"11:11:53","VISA","EEA debit/credit card","Und",22,"R"
15719,769,2015-02-08,2015-02-08,"12:02:37","PayPal","eWallet","Und",10.2,"S"
6378,787,2015-02-08,2015-02-08,"13:22:00","Banktransfer","Bank Transfer","Und",49.66,"S"
10065,798,2015-02-08,2015-02-08,"15:03:17","VISA","EEA debit/credit card","Und",20,"S"
11052,810,2015-02-08,2015-02-08,"16:09:03","VISA","EEA debit/credit card","Und",43,"S"
13596,830,2015-02-08,2015-02-08,"17:44:06","PayPal","eWallet","Und",7,"S"
8442,833,2015-02-08,2015-02-08,"17:54:35","Banktransfer","Bank Transfer","Und",302,"S"
1640,840,2015-02-08,2015-02-08,"18:33:55","Banktransfer","Bank Transfer","Und",88,"S"
3394,876,2015-02-08,2015-02-08,"20:30:21","Banktransfer","Bank Transfer","Und",200,"S"
5288,889,2015-02-08,2015-02-08,"21:27:45","PayPal","eWallet","Und",13.37723,"S"
3028,892,2015-02-08,2015-02-08,"21:38:34","Banktransfer","Bank Transfer","Und",65,"S"
10169,895,2015-02-08,2015-02-08,"21:47:12","VISA","EEA debit/credit card","Und",307.26012,"S"
1862,900,2015-02-08,2015-02-08,"22:06:34","Banktransfer","Bank Transfer","Und",100,"S"
15719,917,2015-02-08,2015-02-08,"22:56:46","PayPal","eWallet","Und",10.4,"S"
17696,921,2015-02-08,2015-02-08,"23:00:44","PayPal","eWallet","Und",16,"S"
4145,922,2015-02-08,2015-02-08,"23:01:50","Banktransfer","Bank Transfer","Und",10.76,"S"
4980,935,2015-02-08,2015-02-08,"23:25:14","PayPal","eWallet","Und",305.2,"S"
17968,940,2015-02-08,2015-02-08,"23:48:41","VISA","EEA debit/credit card","Und",80.26337,"R"
6533,956,2015-02-09,2015-02-09,"01:13:25","UKash","Voucher","Und",20,"S"
12042,962,2015-02-09,2015-02-09,"04:03:44","EntroPay","Prepaid Cards","Und",131.68291,"R"
15436,1002,2015-02-09,2015-02-09,"11:51:31","PayPal","eWallet","Und",294.86085,"R"
12505,1018,2015-02-09,2015-02-09,"14:00:14","Banktransfer","Bank Transfer","Und",82,"S"
12074,1019,2015-02-09,2015-02-09,"14:01:23","Webmoney","eWallet","Und",83.39917,"S"
17968,1023,2015-02-09,2015-02-09,"14:30:55","VISA","EEA debit/credit card","Und",191.29435,"R"
17346,1025,2015-02-09,2015-02-09,"14:35:44","VISA","EEA debit/credit card","Und",46.8203,"S"
3512,1036,2015-02-09,2015-02-09,"16:23:58","VISA","EEA debit/credit card","Und",37.7491,"S"
9569,1051,2015-02-09,2015-02-09,"17:47:23","PayPal","eWallet","Und",425,"S"
6484,1055,2015-02-09,2015-02-09,"18:07:18","Banktransfer","Bank Transfer","Und",2323,"S"
7581,1066,2015-02-09,2015-02-09,"19:02:55","Banktransfer","Bank Transfer","Und",138,"S"
598,1073,2015-02-09,2015-02-09,"19:55:24","PayPal","eWallet","Und",85,"S"
7231,1091,2015-02-09,2015-02-09,"21:30:09","PayPal","eWallet","Und",56,"S"
10065,1101,2015-02-09,2015-02-09,"22:18:00","VISA","EEA debit/credit card","Und",122,"S"
7480,1112,2015-02-09,2015-02-09,"22:51:48","PayPal","eWallet","Und",10,"S"
15016,1122,2015-02-09,2015-02-09,"23:23:59","PayPal","eWallet","Und",100,"R"
9459,1125,2015-02-09,2015-02-09,"23:48:08","Banktransfer","Bank Transfer","Und",600,"R"
9037,1127,2015-02-09,2015-02-09,"23:56:29","Banktransfer","Bank Transfer","Und",10,"S"
5690,1132,2015-02-10,2015-02-10,"00:13:52","PayPal","eWallet","Und",7.01,"S"
11774,1133,2015-02-10,2015-02-10,"00:19:23","Banktransfer","Bank Transfer","Und",62,"R"
12042,1140,2015-02-10,2015-02-10,"02:51:24","EntroPay","Prepaid Cards","Und",13.16829,"R"
12042,1143,2015-02-10,2015-02-10,"04:50:37","EntroPay","Prepaid Cards","Und",254.58695,"R"
16091,1187,2015-02-10,2015-02-10,"13:28:36","PayPal","eWallet","Und",1548.01,"S"
18877,1196,2015-02-10,2015-02-10,"14:15:00","PayPal","eWallet","Und",100,"S"
20660,1207,2015-02-10,2015-02-10,"15:19:13","Moneybookers","eWallet","Und",300,"R"
10998,1214,2015-02-10,2015-02-10,"15:59:38","PayPal","eWallet","Und",130,"S"
10993,1218,2015-02-10,2015-02-10,"16:27:03","PayPal","eWallet","Und",10,"S"
17968,1242,2015-02-10,2015-02-10,"17:26:19","VISA","EEA debit/credit card","Und",136.54327,"S"
16075,1244,2015-02-10,2015-02-10,"17:42:18","PayPal","eWallet","Und",220,"S"
8003,1262,2015-02-10,2015-02-10,"18:52:56","Banktransfer","Bank Transfer","Und",10,"S"
9459,1271,2015-02-10,2015-02-10,"19:36:23","Banktransfer","Bank Transfer","Und",500,"R"
14376,1275,2015-02-10,2015-02-10,"19:47:39","PayPal","eWallet","Und",25,"R"
8509,1293,2015-02-10,2015-02-10,"20:50:46","PayPal","eWallet","Und",200,"R"
13448,1333,2015-02-10,2015-02-10,"23:43:01","VISA","EEA debit/credit card","Und",4220.19588,"R"
21774,1348,2015-02-11,2015-02-11,"00:40:57","VISA","EEA debit/credit card","Und",10,"S"
6533,1355,2015-02-11,2015-02-11,"01:51:12","UKash","Voucher","Und",60,"S"
5537,1382,2015-02-11,2015-02-11,"09:49:39","VISA","EEA debit/credit card","Und",460,"S"
24870,1384,2015-02-11,2015-02-11,"10:05:20","Banktransfer","Bank Transfer","Und",0.72151,"R"
11057,1418,2015-02-11,2015-02-11,"12:57:31","Banktransfer","Bank Transfer","Und",100,"S"
22279,1421,2015-02-11,2015-02-11,"13:00:13","VISA","EEA debit/credit card","Und",62.91307,"S"
22118,1429,2015-02-11,2015-02-11,"13:24:15","PayPal","eWallet","Und",110,"S"
21620,1435,2015-02-11,2015-02-11,"13:38:35","VISA","EEA debit/credit card","Und",25,"S"
9593,1472,2015-02-11,2015-02-11,"16:02:34","Banktransfer","Bank Transfer","Und",150,"S"
13448,1502,2015-02-11,2015-02-11,"18:11:31","VISA","EEA debit/credit card","Und",740.29864,"R"
21422,1508,2015-02-11,2015-02-11,"18:36:11","Webmoney","eWallet","Und",37.10903,"R"
22813,1528,2015-02-11,2015-02-11,"19:25:23","VISA","EEA debit/credit card","Und",35.60612,"R"
21422,1534,2015-02-11,2015-02-11,"19:36:40","Webmoney","eWallet","Und",26.50645,"R"
21422,1537,2015-02-11,2015-02-11,"19:40:40","Webmoney","eWallet","Und",19.43806,"R"
545,1542,2015-02-11,2015-02-11,"20:03:18","Banktransfer","Bank Transfer","Und",302,"R"
21422,1544,2015-02-11,2015-02-11,"20:10:21","Webmoney","eWallet","Und",13.25322,"R"
21422,1555,2015-02-11,2015-02-11,"20:32:31","Webmoney","eWallet","Und",9.71903,"R"
545,1577,2015-02-11,2015-02-11,"21:00:44","Banktransfer","Bank Transfer","Und",52,"R"
20660,1593,2015-02-11,2015-02-11,"22:40:23","Moneybookers","eWallet","Und",200,"R"
6950,1637,2015-02-11,2015-02-11,"22:53:01","VISA","EEA debit/credit card","Und",30,"S"
20351,1656,2015-02-11,2015-02-11,"22:56:46","PayPal","eWallet","Und",100,"S"
21620,1687,2015-02-11,2015-02-11,"23:11:14","VISA","EEA debit/credit card","Und",40,"S"
24391,1774,2015-02-12,2015-02-12,"01:08:55","VISA","EEA debit/credit card","Und",47.10991,"S"
20660,1802,2015-02-12,2015-02-12,"07:23:15","Moneybookers","eWallet","Und",400,"S"
21422,1806,2015-02-12,2015-02-12,"08:21:05","Webmoney","eWallet","Und",13.26143,"R"
2092,1841,2015-02-12,2015-02-12,"10:52:58","VISA","EEA debit/credit card","Und",509.12869,"S"
8314,1853,2015-02-12,2015-02-12,"11:37:04","Banktransfer","Bank Transfer","Und",202,"S"
20334,1885,2015-02-12,2015-02-12,"12:49:45","PayPal","eWallet","Und",110,"S"
12935,1910,2015-02-12,2015-02-12,"13:48:18","Banktransfer","Bank Transfer","Und",60,"S"
20334,1911,2015-02-12,2015-02-12,"13:51:26","PayPal","eWallet","Und",100,"S"
9223,1989,2015-02-12,2015-02-12,"17:45:31","Banktransfer","Bank Transfer","Und",51.95,"S"
8509,1996,2015-02-12,2015-02-12,"18:04:17","PayPal","eWallet","Und",50,"R"
8509,2014,2015-02-12,2015-02-12,"18:41:49","PayPal","eWallet","Und",30,"R"
21422,2035,2015-02-12,2015-02-12,"19:40:19","Webmoney","eWallet","Und",9.72505,"R"
23645,2052,2015-02-12,2015-02-12,"20:17:47","PayPal","eWallet","Und",40,"R"
16774,2072,2015-02-12,2015-02-12,"21:34:14","Banktransfer","Bank Transfer","Und",500,"S"
7472,2081,2015-02-12,2015-02-12,"21:57:43","PayPal","eWallet","Und",60,"S"
13448,2133,2015-02-12,2015-02-12,"23:49:57","VISA","EEA debit/credit card","Und",1042.73927,"R"
28278,2146,2015-02-13,2015-02-13,"00:38:46","PayPal","eWallet","Und",296.75007,"R"
16555,2154,2015-02-13,2015-02-13,"01:04:18","Banktransfer","Bank Transfer","Und",754.12,"S"
28278,2155,2015-02-13,2015-02-13,"01:04:34","PayPal","eWallet","Und",269.77279,"R"
16555,2161,2015-02-13,2015-02-13,"01:47:58","Banktransfer","Bank Transfer","Und",25.75,"S"
16555,2163,2015-02-13,2015-02-13,"02:25:25","Banktransfer","Bank Transfer","Und",20.1,"S"
25438,2165,2015-02-13,2015-02-13,"03:03:05","Banktransfer","Bank Transfer","Und",300,"S"
28552,2184,2015-02-13,2015-02-13,"08:44:35","VISA","EEA debit/credit card","Und",390.6,"R"
628,2189,2015-02-13,2015-02-13,"09:05:39","Banktransfer","Bank Transfer","Und",202,"S"
20397,2210,2015-02-13,2015-02-13,"11:09:56","VISA","EEA debit/credit card","Und",120,"S"
24649,2228,2015-02-13,2015-02-13,"11:58:42","Banktransfer","Bank Transfer","Und",27,"S"
6942,2244,2015-02-13,2015-02-13,"12:53:45","Banktransfer","Bank Transfer","Und",73.95398,"S"
21011,2268,2015-02-13,2015-02-13,"14:14:50","Banktransfer","Bank Transfer","Und",121,"S"
10065,2281,2015-02-13,2015-02-13,"14:29:42","VISA","EEA debit/credit card","Und",62,"S"
28278,2290,2015-02-13,2015-02-13,"14:52:17","PayPal","eWallet","Und",134.80561,"R"
16453,2301,2015-02-13,2015-02-13,"15:43:04","Neteller","eWallet","Und",10,"R"
28278,2307,2015-02-13,2015-02-13,"16:04:09","PayPal","eWallet","Und",101.10421,"S"
17865,2323,2015-02-13,2015-02-13,"16:57:28","VISA","EEA debit/credit card","Und",116.63475,"S"
22927,2332,2015-02-13,2015-02-13,"17:31:28","VISA","EEA debit/credit card","Und",13.88498,"S"
23645,2339,2015-02-13,2015-02-13,"18:03:27","PayPal","eWallet","Und",10,"R"
28278,2346,2015-02-13,2015-02-13,"18:26:23","PayPal","eWallet","Und",269.61121,"S"
7801,2364,2015-02-13,2015-02-13,"19:55:31","Neteller","eWallet","Und",500,"S"
15719,2395,2015-02-13,2015-02-13,"21:29:12","PayPal","eWallet","Und",10,"S"
6903,2409,2015-02-13,2015-02-13,"22:11:49","PayPal","eWallet","Und",20,"S"
6903,2426,2015-02-13,2015-02-13,"22:40:04","PayPal","eWallet","Und",10,"S"
4963,2445,2015-02-13,2015-02-13,"23:09:36","VISA","EEA debit/credit card","Und",53.92224,"S"
20731,2448,2015-02-13,2015-02-13,"23:11:38","VISA","EEA debit/credit card","Und",343.72,"S"
20980,2456,2015-02-13,2015-02-13,"23:38:55","Neteller","eWallet","Und",2256.49,"R"
30942,2461,2015-02-13,2015-02-13,"23:55:59","PayPal","eWallet","Und",946.94199,"R"
23645,2480,2015-02-14,2015-02-14,"02:09:58","PayPal","eWallet","Und",20,"R"
28732,2485,2015-02-14,2015-02-14,"03:18:47","VISA","EEA debit/credit card","Und",101.10421,"S"
28732,2493,2015-02-14,2015-02-14,"06:28:12","VISA","EEA debit/credit card","Und",20.22084,"S"
28732,2495,2015-02-14,2015-02-14,"06:55:51","VISA","EEA debit/credit card","Und",33.7014,"S"
28732,2499,2015-02-14,2015-02-14,"07:31:24","VISA","EEA debit/credit card","Und",67.4028,"R"
9863,2513,2015-02-14,2015-02-14,"09:22:42","PayPal","eWallet","Und",35,"S"
15239,2516,2015-02-14,2015-02-14,"10:02:45","Banktransfer","Bank Transfer","Und",20,"R"
19702,2526,2015-02-14,2015-02-14,"10:36:19","PayPal","eWallet","Und",25,"S"
7480,2527,2015-02-14,2015-02-14,"10:52:04","PayPal","eWallet","Und",30,"S"
27888,2534,2015-02-14,2015-02-14,"11:07:19","PayPal","eWallet","Und",220,"S"
22510,2538,2015-02-14,2015-02-14,"11:18:51","Banktransfer","Bank Transfer","Und",56,"S"
23065,2546,2015-02-14,2015-02-14,"11:49:53","Banktransfer","Bank Transfer","Und",107.84449,"R"
9522,2574,2015-02-14,2015-02-14,"13:41:25","Banktransfer","Bank Transfer","Und",100,"S"
12098,2586,2015-02-14,2015-02-14,"14:26:19","VISA","EEA debit/credit card","Und",327,"R"
21422,2594,2015-02-14,2015-02-14,"14:52:00","Webmoney","eWallet","Und",10.57921,"R"
28278,2599,2015-02-14,2015-02-14,"15:08:09","PayPal","eWallet","Und",202.20841,"R"
3512,2612,2015-02-14,2015-02-14,"15:56:45","VISA","EEA debit/credit card","Und",528.96059,"S"
3512,2615,2015-02-14,2015-02-14,"16:04:25","VISA","EEA debit/credit card","Und",176.3202,"S"
20351,2646,2015-02-14,2015-02-14,"17:32:28","PayPal","eWallet","Und",80,"S"
34204,2648,2015-02-14,2015-02-14,"17:35:40","VISA","EEA debit/credit card","Und",45,"S"
20443,2651,2015-02-14,2015-02-14,"17:36:40","VISA","EEA debit/credit card","Und",38.66,"S"
29141,2657,2015-02-14,2015-02-14,"17:43:06","PayPal","eWallet","Und",20,"R"
33395,2660,2015-02-14,2015-02-14,"17:45:09","PayPal","eWallet","Und",187.76,"R"
33395,2695,2015-02-14,2015-02-14,"18:12:14","PayPal","eWallet","Und",100,"S"
14711,2701,2015-02-14,2015-02-14,"18:20:09","Banktransfer","Bank Transfer","Und",450,"S"
7472,2713,2015-02-14,2015-02-14,"18:43:23","PayPal","eWallet","Und",80,"S"
3613,2732,2015-02-14,2015-02-14,"19:41:17","Banktransfer","Bank Transfer","Und",20,"S"
14503,2766,2015-02-14,2015-02-14,"20:33:32","Banktransfer","Bank Transfer","Und",52,"S"
8403,2777,2015-02-14,2015-02-14,"20:42:17","Banktransfer","Bank Transfer","Und",10,"S"
20980,2815,2015-02-14,2015-02-14,"23:03:34","Neteller","eWallet","Und",1831.52,"S"
10052,2829,2015-02-14,2015-02-14,"23:53:19","PayPal","eWallet","Und",230,"S"
27216,2831,2015-02-15,2015-02-15,"00:02:02","Banktransfer","Bank Transfer","Und",122,"S"
8077,2836,2015-02-15,2015-02-15,"00:28:01","Banktransfer","Bank Transfer","Und",30,"S"
10052,2847,2015-02-15,2015-02-15,"01:55:05","Banktransfer","Bank Transfer","Und",200,"S"
10052,2848,2015-02-15,2015-02-15,"02:01:44","PayPal","eWallet","Und",230,"S"
13552,2855,2015-02-15,2015-02-15,"02:49:18","Banktransfer","Bank Transfer","Und",150,"S"
21422,2867,2015-02-15,2015-02-15,"08:58:34","Webmoney","eWallet","Und",10.57921,"R"
32151,2877,2015-02-15,2015-02-15,"10:42:47","PayPal","eWallet","Und",21.51,"S"
35356,2900,2015-02-15,2015-02-15,"13:00:32","PayPal","eWallet","Und",77,"R"
1580,2903,2015-02-15,2015-02-15,"13:02:54","Neteller","eWallet","Und",10.08,"S"
20775,2907,2015-02-15,2015-02-15,"13:23:32","PayPal","eWallet","Und",50,"S"
12814,2935,2015-02-15,2015-02-15,"15:23:04","Banktransfer","Bank Transfer","Und",250,"S"
5767,2937,2015-02-15,2015-02-15,"15:26:32","Banktransfer","Bank Transfer","Und",24.37,"S"
18393,2940,2015-02-15,2015-02-15,"15:33:49","Banktransfer","Bank Transfer","Und",31.78,"S"
16774,2956,2015-02-15,2015-02-15,"16:11:44","Banktransfer","Bank Transfer","Und",100,"S"
18393,2963,2015-02-15,2015-02-15,"16:43:04","Banktransfer","Bank Transfer","Und",41.96,"S"
15896,2970,2015-02-15,2015-02-15,"17:04:03","Banktransfer","Bank Transfer","Und",352,"R"
18680,2976,2015-02-15,2015-02-15,"17:25:49","Banktransfer","Bank Transfer","Und",1002,"S"
10052,2983,2015-02-15,2015-02-15,"17:46:43","Banktransfer","Bank Transfer","Und",71.04,"S"
2822,2989,2015-02-15,2015-02-15,"18:07:56","PayPal","eWallet","Und",25,"R"
8450,3013,2015-02-15,2015-02-15,"19:01:28","Banktransfer","Bank Transfer","Und",30,"S"
25209,3022,2015-02-15,2015-02-15,"19:10:39","Banktransfer","Bank Transfer","Und",292.383,"S"
20980,3027,2015-02-15,2015-02-15,"19:14:35","Neteller","eWallet","Und",383.06,"R"
28552,3036,2015-02-15,2015-02-15,"19:27:46","VISA","EEA debit/credit card","Und",156.42,"R"
8574,3037,2015-02-15,2015-02-15,"19:29:39","Banktransfer","Bank Transfer","Und",72,"S"
10052,3066,2015-02-15,2015-02-15,"20:29:30","Banktransfer","Bank Transfer","Und",60,"S"
10052,3070,2015-02-15,2015-02-15,"20:44:17","PayPal","eWallet","Und",230,"S"
33914,3081,2015-02-15,2015-02-15,"21:11:06","Banktransfer","Bank Transfer","Und",102,"R"
33914,3090,2015-02-15,2015-02-15,"21:38:30","Banktransfer","Bank Transfer","Und",102,"R"
20443,3100,2015-02-15,2015-02-15,"21:58:05","VISA","EEA debit/credit card","Und",35,"S"
18380,3104,2015-02-15,2015-02-15,"22:10:54","VISA","EEA debit/credit card","Und",50,"S"
12571,3107,2015-02-15,2015-02-15,"22:11:51","PayPal","eWallet","Und",70,"S"
20775,3109,2015-02-15,2015-02-15,"22:27:09","PayPal","eWallet","Und",25,"S"
33914,3115,2015-02-15,2015-02-15,"22:41:33","Banktransfer","Bank Transfer","Und",52,"R"
33914,3129,2015-02-15,2015-02-15,"22:59:58","Banktransfer","Bank Transfer","Und",132,"R"
35356,3151,2015-02-16,2015-02-16,"00:37:43","PayPal","eWallet","Und",77,"R"
15570,3160,2015-02-16,2015-02-16,"02:03:48","Banktransfer","Bank Transfer","Und",396,"S"
5530,3166,2015-02-16,2015-02-16,"02:38:56","Banktransfer","Bank Transfer","Und",300,"S"
21900,3175,2015-02-16,2015-02-16,"04:35:58","Banktransfer","Bank Transfer","Und",83.15526,"S"
4980,3191,2015-02-16,2015-02-16,"10:14:24","PayPal","eWallet","Und",180,"S"
1188,3197,2015-02-16,2015-02-16,"10:41:15","Banktransfer","Bank Transfer","Und",10,"S"
3900,3204,2015-02-16,2015-02-16,"11:11:26","Banktransfer","Bank Transfer","Und",368,"S"
33327,3210,2015-02-16,2015-02-16,"11:33:03","Banktransfer","Bank Transfer","Und",120,"S"
22789,3235,2015-02-16,2015-02-16,"12:59:30","Banktransfer","Bank Transfer","Und",91.33,"S"
24198,3247,2015-02-16,2015-02-16,"13:43:57","Banktransfer","Bank Transfer","Und",70,"S"
31716,3248,2015-02-16,2015-02-16,"14:01:08","Banktransfer","Bank Transfer","Und",62,"S"
27632,3253,2015-02-16,2015-02-16,"14:31:24","Banktransfer","Bank Transfer","Und",132,"S"
21625,3255,2015-02-16,2015-02-16,"14:49:24","Moneybookers","eWallet","Und",220,"R"
31634,3269,2015-02-16,2015-02-16,"16:02:38","PayPal","eWallet","Und",30,"S"
23243,3270,2015-02-16,2015-02-16,"16:03:43","VISA","EEA debit/credit card","Und",100,"S"
34126,3280,2015-02-16,2015-02-16,"16:56:33","Banktransfer","Bank Transfer","Und",232,"S"
36985,3286,2015-02-16,2015-02-16,"17:25:10","Banktransfer","Bank Transfer","Und",252,"R"
33914,3287,2015-02-16,2015-02-16,"17:27:05","Banktransfer","Bank Transfer","Und",102,"R"
1078,3290,2015-02-16,2015-02-16,"17:31:32","Banktransfer","Bank Transfer","Und",50,"S"
33914,3294,2015-02-16,2015-02-16,"17:56:12","Banktransfer","Bank Transfer","Und",182,"R"
20443,3305,2015-02-16,2015-02-16,"18:29:33","VISA","EEA debit/credit card","Und",33.5,"S"
36985,3308,2015-02-16,2015-02-16,"18:43:36","Banktransfer","Bank Transfer","Und",52,"R"
16440,3332,2015-02-16,2015-02-16,"20:30:17","Banktransfer","Bank Transfer","Und",350,"S"
18152,3337,2015-02-16,2015-02-16,"20:50:40","Banktransfer","Bank Transfer","Und",110,"S"
10065,3344,2015-02-16,2015-02-16,"21:09:56","VISA","EEA debit/credit card","Und",52,"R"
34768,3364,2015-02-16,2015-02-16,"22:19:52","Neteller","eWallet","Und",67.01,"S"
13074,3370,2015-02-16,2015-02-16,"22:38:26","Banktransfer","Bank Transfer","Und",266.23,"S"
12098,3376,2015-02-16,2015-02-16,"22:41:04","VISA","EEA debit/credit card","Und",300,"S"
